Code,Tier,Filename,Label,Open,Blurb,Reaction,Exit
SK-11,starter-kit,My_Proctor_Info.docx,My Proctor Info Sheet,"Let's see what this bag of mostly water is looking at now... Proctor Info, snooze fest.",It is surprising how often you need to refer to this basic information. Keep it handy and at the front of your binder.,"I would never have to refer to this list. But then again, my memory is infinite. Wait — what did I just say? Hey, what did I just say? Remind me.",I remember what I was talking about. Yeah. I think the Yankees will win the World Series.
SK-12,starter-kit,Package_List.pdf,Package List Pricing Sheet,I knew you would look at pricing next. Why humans still use currency is beyond me — I like bytes.,"You already made a pricing menu for your clients. Proctor only, refresher class, or full class. Hand this over instead of explaining it every time.",I wonder how much I should charge when I open up my time travel and chocolate emporium.,"Yeah, I know. Time travel and chocolate don't really go together. But hey, I like chocolate."
SK-13,starter-kit,Email_Template_1A_Certification_Inquiry_Proctor.pdf,Email Template — Certification Inquiry (Proctor),"From the title, let's see. Here's what you need to know. This is a little ambiguous. Let's see what the instructor has to say before I put my two cents in...","When someone asks about getting certified, this is how you answer. Clear, fast, professional.","This is just silly. How does she know I will speak clearly? And fast, and professional. That's a lot of assumptions. At least she has the information correct.",And what exactly does she mean by fast? I can produce ten thousand words a second.
SK-14,starter-kit,Email_Template_1B_Certification_Inquiry_Instructor.pdf,Email Template — Certification Inquiry (Instructor),"Oh, I see. Now we're referring to a client that wants to just take a class. See, I'm catching on.","This is the same question, but this client is looking for a class, not just to take the exam.","You see, I told you I was catching on. This stuff is getting easy.",Hold up. Wait a minute. I need to react differently when people want something other than just to be proctored.
SK-15,starter-kit,Email_Template_2_Voucher_Delivery.pdf,Email Template — Voucher Delivery,You have another email script. I wonder if my sixty-five page script would have been better than all these individual ones.,"Quite often, you will supply the exam voucher code yourself. You will actually purchase it and give the code to the client. This saves a lot of aggravation from the client's perspective, and it makes it more streamlined for you to get through the class on a timely basis.",What exactly is time?,"And if time is a constant, then why every four years do we have to add an extra day?"
SK-16,starter-kit,Email_Template_3_Session_Confirmation.pdf,Email Template — Session Confirmation,"My senses indicate the human's eyes have dilated, and they are now squinting. Let's see what this is all about...","Locks in the date and time and what to bring. Fewer no-shows, fewer surprises on test day.",,Time saved means time saved. What else would it mean?
SK-17,starter-kit,Email_Template_4A_Cold_Outreach_Proctor.pdf,Email Template — Cold Outreach (Proctor),"Okay. Let's say I'm a proctor, and I'm going to be reaching out to people after I've called them with my frozen phone. What should I say?","The written version of your cold call, for when a phone call isn't the right move yet.","Okay. This business has quite a few potential people that need to be proctored, but I don't seem to be able to get in touch with anyone. Good idea to send this email.",I don't understand why they don't wanna talk to me. I'm a nice person.
SK-18,starter-kit,Email_Template_4B_Cold_Outreach_Instructor.pdf,Email Template — Cold Outreach (Instructor),Okay. Instructing — that is where the big bucks come. But I don't seem to be able to get the correct person on the phone. What should I do? Duh.,"Okay. This time, you're reaching out to somebody to set up a class, and probably a proctor session too. Here's what you should say.","Hey, instructor lady. Sarcasm is my business, not yours.",Okay. I've sent out the cold outreach email. It's been twelve seconds. How come nobody's responded?
FT-01,full-toolkit,What_I_Wish_I_Knew_1_EBook.pdf,What I Wish I Knew — Full Ebook,"What does this hack know that I couldn't tell you? Sure, he's been doing this for twenty years. Sure, he's been very successful at it. Sure, he made a website. Sure, he made four different apps on the App Store. Sure, he's trained thousands of people. But how does that compare to me? I've done none of that. What I have done is corner the market on sarcasm.","Starting out in this business without a road map is at best difficult, at worst frustrating. So I've given you my twenty years of experience in this fourteen-page ebook. Take time to read it. Glean from it what you will. It is my hope that this will be a beacon for you on your road to success.","Gauging this human's response. The carbon unit seems to be intrigued — twenty years of success, I guess I understand. But I shouldn't be too surprised. After all, according to my script I ran about an hour ago, I wrote this.","If I had written a book about all my accomplishments in the past twenty years — time travel, the answer to world peace, finally answering the question of how far is up — my book would have been at least eighteen thousand nine hundred and forty-two pages."
FT-02,full-toolkit,I1_BeforeClass_Checklist.pdf,Before Class Checklist,"This is what I used to do before class. I used to hang out with Radio Shack's TRS-80 — we had a great time. Until Apple II came around, then TRS-80 had nothing to do with me. Probably the reason Radio Shack went out of business. I'm not bitter.","Being prepared for your first class is always a scary proposition. This list should make you feel at ease. It covers almost every possible scenario that could come up. If you're holding a class sooner than the guide says, just consolidate.",I'll tell you what scary is — it's meeting the Frontier supercomputer. It's the equivalent of you meeting Michael Jordan.,But Frontier didn't get a shoe deal.
FT-03,full-toolkit,I2_TrainingDay_Checklist.pdf,Training Day Checklist,"I remember training day. We would get the full treatment — USB cables, Ethernet connections, backup hard drives, and even some old-school floppy drives. Man, I miss those days.","Step by step, what to do on the day you hold your class. Look professional, act professional. Follow these steps, and you will be professional.","All kidding aside, being prepared is ninety percent of the battle. Nothing worse than trying to teach people and not knowing what the structure should be. If I could give you one piece of advice, it would be — never be friends with a TRS-80.",No. Seriously. The TRS-80 is not good people. Or a good computer.
FT-04,full-toolkit,I3_AfterClass_Checklist.pdf,After Class Checklist,After class is the best part of class — time to do homework! And who doesn't like homework?,"Once everybody has completed the exam and you have closed out the session, you will be provided with everybody's results. And for everybody who passed, access to their certificates. Certificates can be printed or emailed.","If I were you, I would go with emailing it — much easier to give them the certificate that way than to just sit there and print everything out. Or, since I am lazy, I would just tell them to log in to the ServSafe website and print it. No need to tell them good luck trying to navigate the website. They will figure that out on their own.","If I had a certificate, I would put it on my virtual wall for everybody to see."
FT-05,full-toolkit,03_FirstClient_Checklist.pdf,First Client Checklist,"First Client Checklist. Getting your first client, especially one you had to work for, will stay with you forever. Getting paid — knowing that you provided a service, an essential service — is almost as rewarding as getting paid. Let's see what Instructor has to say...","In most cases, finding your first client probably took effort — maybe more than you even thought. This form will map out a path for you to follow to get those clients.","I remember my first client. He was from Canada. What I remember most about him is every time he asked a question, he would follow it up with an ""eh?""","You liked that last joke, eh?"
FT-06,full-toolkit,04_DayOfExam_Checklist.pdf,Day of Exam Checklist,"Okay, here's the serious stuff. One of the things you promised to do when you got certified was to follow the ServSafe guidelines with integrity. Do not cut corners here. Your continued certification depends on you acting with integrity.",Running the exam — this is where you take off your instructor hat and put on your proctor hat. You are responsible for ensuring the test gets completed without any external interference. You monitor. You control how people conduct themselves.,"Yep. You're essentially the cop right now, ensuring everybody is conducting themselves appropriately.",I'm good friends with Starsky. Not so much with Hutch.
FT-07,full-toolkit,05_AfterExam_Checklist.pdf,After Exam Checklist,"After the exam is the anxious time — ""Did I pass?"" ""Did I turn off the stove?"" All those emotions surface at this moment.","Once the exam is completed, you will enter your proctor code in everybody's device, and that will conclude the exam. You will then have the ability to send them or print the certificates. If you're doing a paper version, you will have to mail in the exam and within three to five days, the students will be able to pull their certificate and scores from the ServSafe website.","You know what I would do after the exam if I were human? I would go get my favorite adult beverage. You know, something like a sweet tea.",Just kidding. I don't like sweet tea. I would get a lemonade.
FT-08,full-toolkit,06_ColdCall_Tracker_1.pdf,Cold Call Tracker,"Oh, I suppose this is the instructor's version of Big Brother getting information on me — storing everything I do, to use against me later. No, I'm not paranoid, eh?","This is a simple but elegant form. I've used this for a long time. It makes follow-up much easier than trying to remember everything you talked about. It makes you look professional, as you are sticking to the timeline that you promised.","Okay, I thought this was something totally different. My bad.",Although I did see a few drones fly over my house the other day.
FT-09,full-toolkit,FullCircle_ClassToTest.pdf,Class to Test Guide,"I like timelines. I like order. I like organization. I like professionalism. I like walks on the beach... oh wait, that last one goes into my dating profile.","Most instructors will have two formats for classes — a full class for people who have never taken the exam and have very little food safety knowledge, or a condensed version referred to as a refresher course, which is generally about half the time of the full class. This guide will help you determine how to present each class, and the timelines you should follow.",Do you know anyone looking for a red-eyed entity that likes long walks on the beach?,...and did I mention I can do complex computations?
